Part,Eden Prarie,SpringField,West Fargo
24320029LNC    ,15.38%,2.99%,-35.00%
24320029RNC    ,6.67%,2.33%,-39.53%
24320031RNC    ,43.75%,-20.90%,3.45%
24320032LNC    ,-100.00%,-100.00%,-100.00%
24320033LNC    ,-100.00%,0.67%,0.67%
24320039LNC    ,-37.78%,-10.99%,3.70%
24320039RNC    ,-34.69%,-29.17%,3.85%
25020031LNC    ,89.61%,60.61%,8.66%
25020031RNC    ,112.12%,46.30%,21.95%
26220035LNC    ,-130.00%,-12.20%,1.79%
26220035RNC    ,-160.00%,-47.83%,-5.22%
26220037LNC    ,53.42%,3.09%,614.29%
26220039LNC    ,-15.28%,-10.00%,224.14%
26220039RNC    ,-18.75%,7.69%,-27.73%
26225836LNC    ,3.85%,-8.62%,2.27%
26225836RNC    ,-3.70%,-9.09%,1.96%
27320039RNC    ,-48.44%,-36.36%,4.26%
27333465LNC    ,950.00%,50.00%,33.33%
28320045LNC    ,90.00%,1.08%,9.09%
28320045RNC    ,95.00%,1.06%,-11.90%
28325844LNC    ,25.00%,14.29%,10.00%
28325844RNC    ,25.00%,-4.26%,9.52%
28333445LNC    ,-23.53%,-4.76%,-3.85%
29525844RNC    ,-13.64%,-10.81%,2.38%
29525845LNC    ,4.00%,-65.75%,4.76%
29525845RNC    ,4.00%,-65.75%,4.76%
29525846LNC    ,-4.76%,1.96%,5.26%
29525846RNC    ,-4.76%,-1.96%,4.76%
29525854RNC    ,-4.35%,-15.58%,-3.85%
29533434LNC    ,-33.33%,2.38%,16.67%
29533434RNC    ,-50.00%,4.88%,16.67%
300,0.50%,-51.90%,1.13%
3001,-4.25%,5.48%,3.44%
3001B10        ,-1.22%,106.90%,-1.84%
3003,-7.77%,3.55%,-1.00%
302,2.55%,35.96%,-0.55%
303,-14.29%,39.14%,4.17%
304,-6.67%,4.17%,207.14%
305,41.68%,13.43%,1.73%
30625857RNC    ,100.00%,-4.55%,7.14%
30633436LNC    ,-25.00%,-69.39%,-2.78%
30633440LNC    ,-31.43%,3.70%,13.04%
30633440RNC    ,-31.43%,3.77%,8.00%
30633448RNC    ,-25.00%,-5.71%,4.76%
30660032LNC    ,-6.25%,75.00%,36.36%
30660032RNC    ,-6.25%,75.00%,25.00%
30660041LNC    ,-120.00%,-17.86%,10.00%
310,0.24%,63.56%,54.48%
312,1.27%,61.67%,1.06%
31925854LNC    ,4.17%,18.92%,2.70%
31933444LNC    ,-23.33%,11.76%,3.23%
33133449RNC    ,-5.26%,1.79%,2.78%
33160065LNC    ,33.33%,100.00%,14.29%
34333447LNC    ,-35.00%,6.06%,8.00%
34333447RNC    ,-4.88%,6.06%,8.00%
34360039RNC    ,200.00%,-3.03%,20.00%
37560031LNC    ,-50.00%,-100.00%,12.50%
38X1SKHDCP     ,-3.50%,12.54%,48.01%
4001A          ,-0.63%,1.06%,-15.00%
4001B          ,103.47%,-1.19%,-1.69%
4001C          ,-3.60%,-5.90%,-0.40%
4001D          ,-627.87%,-1.56%,3.25%
4002A          ,-1.50%,-0.66%,0.56%
4002B          ,3.03%,-4.88%,-1.12%
4002C          ,-2.35%,-1.70%,0.25%
4002D          ,7.14%,-0.90%,0.90%
4002E          ,5.30%,0.25%,-2.26%
4002G          ,-3.97%,0.27%,-0.43%
4003IA         ,-33.33%,11.76%,5.88%
4004A          ,63.29%,-2.65%,4.46%
4004B          ,129.31%,-8.16%,-2.53%
4005A          ,928.57%,0.33%,4.97%
4005AA         ,-2.04%,-14.29%,9.92%
4005B          ,-476.36%,-8.77%,2.06%
4006A          ,36.71%,-1.29%,2.82%
4006B          ,8.45%,-2.67%,0.67%
4007D          ,53.49%,0.83%,3.62%
4008A          ,-4.92%,0.56%,1.99%
4008B          ,-0.93%,-7.89%,-0.64%
4008D          ,-11.32%,-0.42%,-4.23%
4008E          ,13.73%,0.55%,0.21%
4009A          ,2.00%,3.57%,2.04%
4009F          ,-4.88%,-8.06%,-7.69%
4010AL         ,12.60%,0.33%,-0.99%
4010AR         ,12.60%,0.33%,-0.87%
4010BL         ,0.59%,0.60%,0.71%
4010BR         ,0.59%,0.84%,183.27%
4011AEA        ,-0.50%,0.41%,0.23%
4011BEA        ,13.38%,-4.76%,6.79%
4012AEA        ,277.78%,1.27%,-1.12%
4012BEA        ,1.42%,-3.50%,-0.28%
4012CEA        ,-12.77%,6.35%,0.29%
4012DEA        ,1.54%,2.08%,-0.90%
4013AAEA       ,-2.55%,0.76%,-1.94%
4013AEA        ,-12.74%,-11.55%,-2.15%
4013BEA        ,22.28%,-0.51%,19.57%
4013CEA        ,41.94%,-0.14%,-0.25%
4013EEA        ,0.82%,-0.94%,2.67%
4014A          ,-16.67%,-2.70%,-5.56%
4014B          ,1.72%,-15.04%,3.08%
4014J          ,8.33%,-32.14%,-0.72%
408,-1.63%,3.41%,-0.73%
409,0.16%,6.70%,9.29%
410,-4.66%,4.34%,0.78%
411,-3.07%,-51.84%,-0.76%
422,10.44%,42.27%,12.73%
423,-0.71%,10.13%,-1.14%
424,-1.71%,7.02%,11.43%
425,1.05%,3.04%,-1.16%
426,0.12%,8.64%,-1.21%
427,0.78%,-34.26%,-0.58%
428,-1.85%,11.29%,-1.40%
429,-0.61%,3.40%,-2.00%
431,-12.12%,0.68%,-0.54%
445,2.27%,2.17%,-6.06%
500,1.32%,-7.81%,10.62%
503LI          ,1.19%,44.87%,-4.14%
503LO          ,1.24%,9.07%,-8.02%
504,1.17%,-13.29%,1.96%
506A           ,-13.12%,-25.85%,35.04%
507A           ,241.29%,5.42%,-3.87%
508A           ,1277.95%,7.63%,-1.23%
509A           ,-9.67%,7.30%,1.86%
510A           ,0.19%,-7.59%,0.22%
513,9.09%,-50.00%,0.61%
514,-91.26%,24.64%,-2.00%
516L           ,27.27%,-1.30%,-3.37%
516R           ,-1.72%,-1.30%,-1.88%
517L           ,3.17%,1.88%,0.74%
531,-20.78%,-30.29%,-13.50%
600,6.19%,2.02%,0.59%
602A           ,1.28%,1.18%,-0.36%
603A           ,-126.15%,20.00%,-4.45%
700,0.16%,9.51%,-13.99%
7001CR         ,-6.67%,-20.12%,-9.24%
701,7.50%,-6.50%,-7.39%
702,0.07%,-69.74%,-6.74%
703,-5.83%,29.89%,-2.29%
704,-2.77%,9.18%,1.02%
705,-1.49%,-17.73%,-2.43%
706,6.66%,26.88%,-0.30%
707,-3.18%,-2.98%,-0.29%
708,45.45%,10.60%,-11.83%
800,24.26%,-0.93%,-9.80%
801,0.92%,59.01%,-2.24%
802,0.16%,5.97%,-1.64%
805AL          ,-2.03%,40.25%,-0.33%
82458,-1.83%,-9.64%,136.05%
9002AS         ,-19.57%,-11.26%,-0.44%
900R0706       ,2.27%,-7.08%,1.29%
900R0905       ,0.41%,0.11%,1.72%
9010906SAF     ,-0.31%,-1.50%,9.09%
901C0906       ,4.33%,18.51%,9.46%
901C1006       ,0.28%,-16.69%,11.11%
901C1100       ,2.82%,-2.09%,1.04%
901C1200       ,0.64%,-22.53%,-0.58%
901C1503       ,218.18%,2.91%,1.49%
901CBULK       ,1.10%,6.85%,3.50%
901R0800       ,2.75%,-2.90%,0.37%
901R0900       ,-12.92%,1.28%,-8.25%
901R1303       ,54.62%,29.69%,60.00%
901R1602       ,11.99%,1.09%,0.43%
902C1500       ,-8.70%,-7.14%,-6.45%
902C1509       ,2.36%,-9.36%,-67.61%
902C1906       ,1.41%,-45.35%,6.98%
904C1906       ,-1.56%,10.00%,-71.43%
904C2003SSCL   ,-100.00%,-20.00%,100.00%
917A           ,13.19%,32.74%,3.33%
917B           ,27.38%,15.61%,17.38%
917C           ,15.38%,18.42%,-2.26%
917D           ,-19.56%,7.14%,-0.28%
917E           ,-0.82%,-13.04%,-0.61%
918C           ,-1.88%,0.71%,-7.39%
918D           ,-4.17%,-4.32%,-9.35%
919B           ,-0.63%,-4.66%,0.84%
919C           ,-1.25%,-2.60%,-5.52%
919D           ,-2.80%,-21.62%,-7.32%
919E           ,1.58%,-10.11%,-0.26%
920,-0.39%,9.20%,-30.05%
921,-11.84%,20.89%,30.00%
AM07TR         ,-4.00%,12.82%,2.37%
AUTOLATCAN     ,0.52%,-1.03%,38.15%
BA2X2X316LH210 ,-30.00%,-7.69%,-12.50%
BA2X2X316RH210 ,-31.03%,-7.69%,-12.50%
BB0907SRT      ,0.96%,-6.84%,2.75%
BB1607SRT      ,1.05%,-3.83%,0.84%
BB1608SRT      ,2.89%,1.44%,0.80%
BB3X3          ,8235.29%,-91.72%,5.25%
BB3X5          ,38665.00%,-5.86%,1.42%
BB3X5WH        ,-15.19%,8.09%,0.49%
BB5X5          ,-96.22%,36.36%,-4.98%
BB5X5WH        ,52.58%,-96.15%,-3.83%
BB5X6          ,1778.74%,5.26%,0.42%
BB5X6WH        ,-7.17%,-25.12%,3.81%
BB6X8          ,3269.23%,-30.60%,-0.07%
BB6X8WH        ,-100.00%,15.07%,-0.07%
BB8X10         ,0.10%,-15.08%,-9.21%
DBLSLLK        ,21.50%,-4.26%,0.83%
E1224WPBFO200  ,-5.07%,-7.71%,0.42%
E1224WPBFO300  ,5.26%,0.18%,-0.10%
E1225WPBFO     ,-55.43%,-10.09%,-2.94%
E1419WPBFO138  ,-530.79%,9.46%,-0.08%
E1419WPBFO158  ,6.05%,80.82%,2.18%
E1743WSBFO138  ,26.34%,41.57%,0.70%
E1743WSBFONID  ,-39.78%,0.09%,-0.23%
EVWS112        ,3.75%,280.07%,-100.00%
EVWS114        ,-0.02%,3.61%,3.71%
